Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
"$1,599+",0 - 2 bed,1 - 2 bath,365+ sqft,NO,"88-15 168th St,                  ",Jamaica,NY,11432
"$1,550+",0 - 3 bed,1 bath,585+ sqft,OK Pets,"5959 Broadway,                  ",Bronx,NY,10463
"$1,975+",0 - 3 bed,1 - 2 bath,487+ sqft,OK Pets,"7525 153rd St,                  ",Kew Gardens Hills,NY,11367
"$3,804+",0 - 2 bed,1 - 2 bath,516+ sqft,OK Pets,"100 W 31st St,                  ",New York,NY,10001
"$3,399+",0 - 2 bed,1 bath,641+ sqft,NO,"63 Wall St,                  ",New York,NY,10005
"$1,699+",0 - 2 bed,1 bath,544+ sqft,NO,"140-30-140-50 Ash Ave,                  ",Flushing,NY,11355
"$2,246+",0 - 2 bed,1 - 2 bath,477+ sqft,OK Pets,"54 Noll St,                  ",Brooklyn,NY,11206
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,845+",0 - 3 bed,1 - 2 bath,433+ sqft,OK Pets,"435 W 31st St,                  ",New York,NY,10001
"$2,600+",0 - 3 bed,1 - 2 bath,497+ sqft,OK Pets,"25 Waterside Plz,                  ",New York,NY,10010
"$4,021+",1 - 3 bed,1 - 3 bath,694+ sqft,OK Pets,"225 Cherry St,                  ",New York,NY,10002
"$1,775+",0 - 1 bed,1 bath,564+ sqft,OK Pets,"153-30 89th Ave,                  ",Jamaica,NY,11432
"$1,699+",0 - 2 bed,1 bath,Data Not Found,NO,"94-25 57th Ave,                  ",Elmhurst,NY,11373
"$2,456+",0 - 3 bed,1 - 2 bath,428+ sqft,OK Pets,"42-12 28th St,                  ",Long Island City,NY,11101
"$3,225+",0 - 2 bed,1 - 2 bath,Data Not Found,OK Cats,"222 E 34th St,                  ",New York,NY,10016
"$1,599+",0 - 2 bed,1 bath,544+ sqft,NO,"51-25 Van Kleeck St,                  ",Elmhurst,NY,11373
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,773+",0 - 2 bed,1 - 2 bath,434+ sqft,OK Pets,"395 Leonard St,                  ",Brooklyn,NY,11211
"$2,862+",0 - 1 bed,1 bath,468+ sqft,OK Pets,"601 W 57th St,                  ",New York,NY,10019
"$3,050+",0 - 1 bed,1 bath,520+ sqft,OK Cats,"50 W 34th St,                  ",New York,NY,10001
"$6,500+",1 - 2 bed,1 - 2 bath,Data Not Found,NO,"796 Madison Ave,                  ",New York,NY,10065
"$3,535+",1 - 3 bed,1 bath,708+ sqft,OK Pets,"409 E 14th St,                  ",New York,NY,10009
"$2,553+",0 - 2 bed,1 bath,479+ sqft,OK Pets,"33 Bond St,                  ",Brooklyn,NY,11201
"$1,640",0 bed,1 bath,"1,640+ sqft",NO,"440 Saint Marks Ave,                  ",Brooklyn,NY,11238
"$3,734+",1 - 2 bed,1 - 2 bath,944+ sqft,OK Pets,"360 1st Ave,                  ",New York,NY,10010
"$2,997+",0 - 3 bed,1 - 2 bath,527+ sqft,OK Pets,"606 W 57th St,                  ",New York,NY,10019
"$1,500+",0 - 2 bed,1 bath,500+ sqft,OK Pets,"1680 Pelham Pkwy S,                  ",Bronx,NY,10461
"$2,900",0 bed,1 bath,442+ sqft,OK Pets,"568 Union Ave,                  ",Brooklyn,NY,11211
"$3,233+",0 - 3 bed,1 - 3 bath,482+ sqft,OK Pets,"101 W End Ave,                  ",Manhattan,NY,10023
"$4,850",1 bed,1 bath,"1,129+ sqft",OK Pets,"27-03 42nd Rd,                  ",Long Island City,NY,11101
"$1,636",0 bed,1 bath,Data Not Found,NO,"939 Woodycrest Ave,                  ",Bronx,NY,10452
"$3,740+",1 - 2 bed,1 - 2 bath,650+ sqft,OK Pets,"505 W 37th St,                  ",New York,NY,10018
"$3,440",0 bed,1 bath,519+ sqft,OK Pets,"544 Union Ave,                  ",Brooklyn,NY,11211
"$1,358+",0 - 2 bed,1 bath,362+ sqft,NO,"2010 Seagirt Blvd,                  ",Far Rockaway,NY,11691
"$1,995+",0 - 2 bed,1 - 2 bath,477+ sqft,NO,"178-02 Hillside Ave,                  ",Jamaica,NY,11432
"$2,626+",0 - 3 bed,1 - 3 bath,437+ sqft,OK Pets,"180 Water St,                  ",New York,NY,10038
"$1,440+",0 - 1 bed,1 bath,Data Not Found,NO,"60-47 68th Ave,                  ",Ridgewood,NY,11385
"$1,718+",0 - 3 bed,1 - 2 bath,468+ sqft,NO,"96-02-96-40 57th Ave,                  ",Corona,NY,11368
"$4,375+",0 - 1 bed,1 bath,485+ sqft,OK Pets,"101 W 15th St,                  ",New York,NY,10011
"$3,938+",0 - 4 bed,1 - 4 bath,515+ sqft,OK Pets,"675 W 59th St,                  ",New York,NY,10019
"$2,396+",0 - 3 bed,1 - 3 bath,708+ sqft,OK Pets,"10 Halletts Pt,                  ",Astoria,NY,11102
"$1,500+",0 - 2 bed,1 - 2 bath,371+ sqft,OK Pets,"8 Navy Pier Ct,                  ",Staten Island,NY,10304
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,600+",1 - 2 bed,1 - 2 bath,725+ sqft,OK Pets,"66 Rockwell Pl,                  ",Brooklyn,NY,11217
"$3,400+",3 - 6 bed,1 - 3 bath,"1,054+ sqft",OK Pets,"222 Washington Rd,                  ",Brooklyn,NY,11209
"$1,695",1 bed,1 bath,Data Not Found,NO,"2828 Kings Hwy,                  ",Brooklyn,NY,11229
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,063+",0 - 2 bed,1 - 2 bath,421+ sqft,OK Pets,"515 W 38th St,                  ",New York,NY,10018
"$3,295+",0 - 2 bed,1 - 2 bath,453+ sqft,OK Pets,"363 Bond St,                  ",Brooklyn,NY,11231
"$4,295+",2 - 5 bed,1 - 2 bath,Data Not Found,OK Pets,"195 Stanton St,                  ",New York,NY,10002
"$2,622+",0 - 2 bed,1 - 2 bath,535+ sqft,OK Pets,"411 W 35th St,                  ",New York,NY,10001
"$2,747+",0 - 3 bed,1 - 2 bath,402+ sqft,OK Pets,"111 Lawrence St,                  ",Brooklyn,NY,11201
"$3,071+",1 - 2 bed,1 - 2 bath,528+ sqft,OK Pets,"116 John St,                  ",New York,NY,10038
"$2,100+",0 - 4 bed,1 - 2 bath,578+ sqft,OK Pets,"104-20-104-60 Queens Blvd,                  ",Forest Hills,NY,11375
"$2,415+",0 - 1 bed,1 bath,443+ sqft,OK Pets,"2719 44th Dr,                  ",Long Island City,NY,11101
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,120+",0 - 2 bed,1 - 2 bath,646+ sqft,OK Pets,"625 W 57th St,                  ",New York,NY,10019
"$2,595",2 bed,1 bath,906+ sqft,NO,"2728 Henry Hudson Pkwy E,                  ",Bronx,NY,10463
"$3,688",1 bed,1 bath,588+ sqft,NO,"600 W 58th St,                  ",New York,NY,10019
"$1,590",0 bed,1 bath,85+ sqft,NO,"417 Grand St,                  ",Brooklyn,NY,11211
$999,0 - 1 bed,1 bath,150+ sqft,NO,"890 Jefferson Ave,                  ",Brooklyn,NY,11221
"$2,250+",1 - 2 bed,1 - 2 bath,642+ sqft,NO,"11 Cooper St,                  ",New York,NY,10034
$367+,0 - 3 bed,1 - 2 bath,Data Not Found,NO,"1465 Park Ave,                  ",New York,NY,10029
Data Not Found,0 - 1 bed,1 bath,450+ sqft,NO,"250 Bedford Park Blvd,                  ",Bronx,NY,10458
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$4,025+",0 - 4 bed,1 - 5 bath,525+ sqft,NO,"242 W 53rd St,                  ",New York,NY,10019
"$1,795+",0 - 2 bed,1 bath,488+ sqft,OK Pets,"707 Beach 9th St,                  ",Far Rockaway,NY,11691
"$1,775+",0 - 2 bed,1 - 2 bath,444+ sqft,OK Dogs,"43 60 Douglaston Pkwy,                  ",Douglaston,NY,11363
"$2,900+",0 - 3 bed,1 - 2 bath,399+ sqft,OK Pets,"214 Duffield St,                  ",Brooklyn,NY,11201
"$1,675+",0 - 2 bed,1 - 2 bath,420+ sqft,OK Pets,"201 Hamilton Ave,                  ",Staten Island,NY,10301
"$2,754+",0 - 3 bed,1 - 3 bath,460+ sqft,OK Pets,"4-75 48th Ave,                  ",Long Island City,NY,11109
"$2,200+",0 - 2 bed,1 bath,450+ sqft,OK Pets,"29-28 41st Ave,                  ",Long Island City,NY,11101
"$2,687+",0 - 3 bed,1 - 2 bath,431+ sqft,OK Pets,"100 Willoughby St,                  ",Brooklyn,NY,11201
"$3,612+",0 - 2 bed,1 - 2 bath,420+ sqft,OK Pets,"11 E 1st St,                  ",New York,NY,10003
"$2,898+",0 - 3 bed,1 - 3 bath,507+ sqft,OK Pets,"1524 Sheepshead Bay Rd,                  ",Brooklyn,NY,11235
"$3,363+",0 - 2 bed,1 - 2 bath,481+ sqft,OK Pets,"525 W 28th St,                  ",New York,NY,10001
"$2,796+",0 - 2 bed,1 - 2 bath,398+ sqft,OK Pets,"515 W 52nd St,                  ",New York,NY,10019
"$1,550",1 bed,1 bath,713+ sqft,NO,"3480 Seymour Ave,                  ",Bronx,NY,10469
"$2,400+",1 - 3 bed,1 bath,Data Not Found,OK Pets,"15 Cedar St,                  ",Brooklyn,NY,11221
"$3,375",0 - 2 bed,1 - 2 bath,461+ sqft,OK Pets,"34 Berry St,                  ",Brooklyn,NY,11249
"$2,821+",0 - 2 bed,1 - 2 bath,412+ sqft,OK Pets,"250 W 50th St,                  ",New York,NY,10019
"$4,100+",1 - 2 bed,1 - 2 bath,Data Not Found,OK Pets,"320 W 38th St,                  ",New York,NY,10018
"$4,040+",0 - 3 bed,1 - 2 bath,483+ sqft,OK Pets,"1 Morningside Dr Ph 1,                  ",New York,NY,10025
"$4,500",2 bed,2 bath,Data Not Found,OK Pets,"460 W 20th St,                  ",New York,NY,10011
"$3,165+",0 - 2 bed,1 - 2 bath,453+ sqft,OK Pets,"282 11th Ave,                  ",New York,NY,10001
"$4,995",1 bed,1 bath,728+ sqft,OK Pets,"280 Park Ave S,                  ",New York,NY,10010
"$3,669+",0 - 2 bed,1 bath,449+ sqft,OK Pets,"118 Fulton St,                  ",New York,NY,10038
"$2,990+",0 - 1 bed,1 bath,498+ sqft,OK Pets,"490 2nd Ave,                  ",New York,NY,10016
"$2,400",2 bed,1 bath,825+ sqft,NO,"4430 Douglaston Pkwy,                  ",Douglaston,NY,11363
"$3,050+",0 - 3 bed,1 - 2 bath,489+ sqft,OK Pets,"343 Gold St,                  ",Brooklyn,NY,11201
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,050+",0 - 3 bed,1 - 2 bath,489+ sqft,OK Pets,"343 Gold St,                  ",Brooklyn,NY,11201
"$1,916+",1 - 2 bed,1 bath,575+ sqft,NO,"16-70 Bell Blvd,                  ",Bayside,NY,11360
"$1,450+",0 - 1 bed,1 bath,300+ sqft,OK Pets,"87-20 Pitkin Ave,                  ",Ozone Park,NY,11417
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,163+",0 - 1 bed,1 bath,461+ sqft,OK Pets,"39-43 Park Ave,                  ",New York,NY,10016
"$3,225+",2 - 3 bed,1 bath,Data Not Found,OK Pets,"326 E 35th St,                  ",New York,NY,10016
"$3,985+",2 - 4 bed,1 - 2 bath,475+ sqft,OK Pets,"332 E 18th St,                  ",New York,NY,10003
"$2,450+",0 - 2 bed,1 - 2 bath,Data Not Found,OK Pets,"2310 Queens Plz S,                  ",Long Island City,NY,11101
"$2,769+",0 - 2 bed,1 - 2 bath,389+ sqft,OK Pets,"230 Livingston St,                  ",Brooklyn,NY,11201
"$3,140+",0 - 1 bed,1 bath,453+ sqft,OK Pets,"400 E 57th St,                  ",New York,NY,10022
"$3,500+",0 - 2 bed,1 - 2 bath,400+ sqft,NO,"149 E 39th St,                  ",New York,NY,10016
"$4,150+",2 - 4 bed,1 bath,Data Not Found,OK Pets,"234-236 W 14th St,                  ",New York,NY,10011
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$1,650+",0 - 1 bed,1 bath,305+ sqft,OK Pets,"30 W 141st St,                  ",New York,NY,10037
"$3,795+",1 - 2 bed,1 - 2 bath,Data Not Found,NO,"320 E 46th St,                  ",New York,NY,10017
"$3,092+",0 - 2 bed,1 - 2 bath,460+ sqft,NO,"9 W 31st St,                  ",New York,NY,10001
"$1,826+",0 - 2 bed,1 bath,540+ sqft,OK Pets,"2940-3000 Ocean Pkwy,                  ",Brooklyn,NY,11235
"$2,200+",1 - 3 bed,1 - 2 bath,659+ sqft,OK Pets,"190 Beach 69th St,                  ",Arverne,NY,11692
"$1,300+",3 - 4 bed,2 bath,Data Not Found,NO,"1082 Greene Ave,                  ",Brooklyn,NY,11221
"$1,950+",1 - 3 bed,1 bath,Data Not Found,OK Pets,"326 E 117th St,                  ",New York,NY,10035
"$1,600+",1 - 2 bed,1 bath,506+ sqft,NO,"2000 E Tremont Ave,                  ",Bronx,NY,10462
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,765+",1 - 2 bed,1 bath,Data Not Found,NO,"208-214 E 25th St,                  ",New York,NY,10010
"$3,995+",1 - 3 bed,1 - 2 bath,Data Not Found,OK Pets,"300 E 75th St,                  ",New York,NY,10021
"$3,102+",0 - 3 bed,1 - 3 bath,514+ sqft,NO,"46-52 W 68th St,                  ",New York,NY,10023
"$4,000+",1 - 2 bed,1 - 2 bath,Data Not Found,OK Dogs,"571 9th Ave,                  ",New York,NY,10036
"$2,092",1 bed,1 bath,692+ sqft,NO,"1770 Grand Concourse,                  ",Bronx,NY,10457
"$3,399+",1 - 2 bed,1 - 2 bath,636+ sqft,OK Pets,"1133 Manhattan Ave,                  ",Brooklyn,NY,11222
"$3,000+",1 - 3 bed,1 bath,Data Not Found,OK Pets,"410 E 13th St,                  ",New York,NY,10009
"$1,850",1 bed,1 bath,675+ sqft,NO,"1065-1081 Jerome Ave,                  ",Bronx,NY,10452
"$1,699+",1 bed,1 bath,552+ sqft,NO,"1981 Sedgwick Ave,                  ",Bronx,NY,10453
"$2,499",2 bed,2 bath,Data Not Found,NO,"1130 Pelham Pkwy S,                  ",Bronx,NY,10461
"$3,150",2 bed,1 bath,Data Not Found,OK Pets,"1423 Broadway,                  ",Astoria,NY,11106
"$1,374+",0 - 5 bed,1 bath,379+ sqft,OK Dogs,"57-17 Shore Front Pkwy,                  ",Arverne,NY,11692
"$3,995+",1 - 2 bed,1 - 3 bath,595+ sqft,NO,"160 W 22nd St,                  ",New York,NY,10011
"$1,450",0 bed,1 bath,71+ sqft,NO,"18-67 Cornelia St,                  ",Flushing,NY,11385
"$4,458",2 bed,2 bath,"1,000+ sqft",OK Pets,"488 Seventh Ave,                  ",New York,NY,10018
"$3,400+",0 - 2 bed,1 - 2 bath,400+ sqft,NO,"255 E Houston St,                  ",New York,NY,10002
"$3,000+",3 - 4 bed,1 - 2 bath,Data Not Found,NO,"911 Jefferson Ave,                  ",Brooklyn,NY,11221
"$1,775",1 bed,1 bath,750+ sqft,NO,"4861-4881 Broadway,                  ",New York,NY,10034
"$7,435",3 bed,1 bath,651+ sqft,NO,"15 E 11th St,                  ",New York,NY,10003
"$2,350",1 bed,1 bath,Data Not Found,NO,"3300 Netherland Ave,                  ",Bronx,NY,10463
"$5,200",1 bed,1 bath,900+ sqft,OK Cats,"401 E 80th St,                  ",New York,NY,10075
"$4,050+",1 bed,1 bath,630+ sqft,OK Pets,"235 W 56th St,                  ",New York,NY,10019
"$2,607+",0 - 3 bed,1 - 2 bath,423+ sqft,OK Pets,"888 Main St,                  ",New York,NY,10044
"$2,524+",0 - 2 bed,1 - 2 bath,300+ sqft,OK Pets,"280 Ashland Pl,                  ",Brooklyn,NY,11217
"$1,650+",2 - 3 bed,1 - 2 bath,"1,000+ sqft",OK Pets,"9202-9280 Holland Ave,                  ",Rockaway Beach,NY,11693
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,479+",0 - 3 bed,1 - 3 bath,464+ sqft,OK Pets,"189 W 89th St,                  ",New York,NY,10024
"$2,500+",2 - 3 bed,1 bath,Data Not Found,OK Pets,"855 Dekalb Ave,                  ",Brooklyn,NY,11221
"$2,550+",3 - 4 bed,1 bath,Data Not Found,OK Pets,"2377 Belmont Ave,                  ",Bronx,NY,10458
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,200",4 bed,1 bath,Data Not Found,NO,"281 Edgecombe Ave,                  ",New York,NY,10031
"$1,625+",0 - 3 bed,1 bath,340+ sqft,OK Pets,"3470 Fort Independence St,                  ",Bronx,NY,10463
"$5,521",3 bed,1 bath,Data Not Found,OK Pets,"10 Rutgers St,                  ",New York,NY,10002
"$2,100",3 bed,1 bath,775+ sqft,NO,"2559 Decatur Ave,                  ",Bronx,NY,10458
"$2,888+",0 - 2 bed,1 - 2 bath,650+ sqft,OK Pets,"235 W 48th St,                  ",New York,NY,10036
"$2,100+",0 - 3 bed,1 bath,535+ sqft,NO,"501 1/2 E 83rd St,                  ",New York,NY,10028
Data Not Found,1 bed,1 bath,600+ sqft,NO,"11014 Astoria Blvd,                  ",East Elmhurst,NY,11369
"$2,150",1 bed,1 bath,402+ sqft,NO,"430-434 E 72nd St,                  ",New York,NY,10021
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$1,375",0 bed,1 bath,554+ sqft,NO,"937 Victory Blvd,                  ",Staten Island,NY,10301
"$4,249",1 bed,1 bath,596+ sqft,OK Pets,"210 W 70th St,                  ",New York,NY,10023
"$2,200",1 bed,1 bath,675+ sqft,NO,"14-56 31st Dr,                  ",Astoria,NY,11106
Data Not Found,1 - 3 bed,1 - 2 bath,650+ sqft,OK Cats,"1155 Pennsylvania Ave,                  ",Brooklyn,NY,11239
"$3,600",2 bed,1 bath,Data Not Found,NO,"164 Ludlow St,                  ",New York,NY,10002
Data Not Found,0 - 2 bed,1 bath,400+ sqft,NO,"1091-1103 Gates Ave,                  ",Brooklyn,NY,11221
"$8,800",3 bed,2 bath,"2,800+ sqft",OK Pets,"220 E 86th St,                  ",New York,NY,10028
"$1,375+",0 - 2 bed,1 - 2 bath,560+ sqft,NO,"2165 Bolton St,                  ",Bronx,NY,10462
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$7,333",4 bed,2 bath,Data Not Found,NO,"113 Stanton St,                  ",New York,NY,10002
"$4,321",2 bed,1 bath,Data Not Found,OK Cats,"59 Thompson St,                  ",New York,NY,10012
"$1,945+",1 - 2 bed,1 - 2 bath,Data Not Found,OK Pets,"2371 2nd Ave,                  ",New York,NY,10035
"$1,585",0 bed,1 bath,Data Not Found,NO,"70 Herkimer St,                  ",Brooklyn,NY,11216
"$1,700",1 bed,1 bath,708+ sqft,NO,"3-75 Darcey Ave,                  ",Staten Island,NY,10314
"$2,800",3 bed,1 bath,"1,400+ sqft",NO,"6342 Fitchett St,                  ",Rego Park,NY,11374
"$6,950",2 bed,2 bath,"1,174+ sqft",OK Pets,"200 Rector Pl Apt 24E,                  ",New York,NY,10280
"$3,800",1 bed,1 bath,770+ sqft,NO,"235 E 40th St Apt 20B,                  ",New York,NY,10016
"$1,300",1 bed,1 bath,516+ sqft,NO,"12-17 Norton Drive 12-17 Norton Dr Fl 3,                  ",Far Rockaway,NY,11691
"$2,800",3 bed,1 bath,Data Not Found,OK Pets,"2099 Pacific St,                  ",Brooklyn,NY,11233
"$1,700",1 bed,1 bath,"1,000+ sqft",NO,"2313 Pacific St Unit B,                  ",Brooklyn,NY,11233
"$2,399",2 bed,1 bath,850+ sqft,OK Pets,"1471 Bushwick Ave,                  ",Brooklyn,NY,11207
"$2,300",2 bed,1 bath,900+ sqft,NO,"1498 Pacific St,                  ",Brooklyn,NY,11213
"$3,695",3 bed,2 bath,850+ sqft,OK Pets,"149 4th Ave,                  ",Brooklyn,NY,11217
"$2,749",3 bed,2 bath,850+ sqft,OK Pets,"1399 Greene Ave,                  ",Brooklyn,NY,11237
"$2,495+",2 bed,1 bath,Data Not Found,NO,"110 Convent Ave,                  ",New York,NY,10027
"$3,250",2 bed,2 bath,"1,750+ sqft",NO,"325 Hancock St # 1,                  ",Brooklyn,NY,11216
"$3,565+",1 - 2 bed,1 - 2 bath,Data Not Found,NO,"480 Main St,                  ",New York,NY,10044
"$4,695",4 bed,2 bath,Data Not Found,NO,"964 Amsterdam Ave,                  ",New York,NY,10025
"$3,460+",1 - 2 bed,1 - 2 bath,Data Not Found,NO,"500 W 56th St,                  ",New York,NY,10019
"$4,125+",0 - 2 bed,1 - 2 bath,Data Not Found,NO,"130 W 15th St,                  ",New York,NY,10011
